"","price","type.residential","no.beds","size.sq.meter","apart.area.name","area.name","category"
"1",1e+05,"Apartment","1 ",751,"MBL Residences"," Jumeirah Lake Towers","Premium"
"2",2e+05,"Apartment","3 ",2076," Al Jaz"," Greens","Premium"
"3",79000,"Apartment","1 ",708," Lake Almas West"," Jumeirah Lake Towers","Premium"
"4",85000,"Apartment","2 ",1194," Lake Almas East"," Jumeirah Lake Towers","Premium"
"5",260000,"Apartment","3 ",2159," Shoreline Apartments"," Palm Jumeirah","Premium"
"6",449750,"Apartment","3 ",2392," Tiara Residences"," Palm Jumeirah","Premium"
"7",70000,"Apartment","1 ",789,"Creek Rise"," Dubai Creek Harbour (The Lagoons)","Premium"
"8",230000,"Apartment","3 ",2124,"Dubai Creek Residence Tower 3 South"," Dubai Creek Harbour (The Lagoons)","Premium"
"9",180000,"Apartment","1 ",854," The Address Residence Fountain Views"," Downtown Dubai","Premium"
"10",165000,"Apartment","3 ",2146,"23 Marina"," Dubai Marina","Premium"
"11",6e+05,"Apartment","3 ",1900,"The Address Jumeirah Resort and Spa"," Dubai Marina","Premium"
"12",15000,"Apartment","1 ",1158,"The Royal Amwaj"," Palm Jumeirah","Premium"
"13",65000,"Apartment","1 ",867,"Tower 108"," Jumeirah Village Circle","Premium"
"14",38000,"Apartment","1 ",723," Diamond Views"," Jumeirah Village Circle","Premium"
"15",108000,"Apartment","1 ",705," EMAAR Beachfront"," Dubai Harbour","Premium"
"16",70000,"Apartment","2 ",1261,"Sandoval Gardens"," Jumeirah Village Circle","Premium"
"17",260000,"Apartment","2 ",2035," Burj Khalifa Area"," Downtown Dubai","Premium"
"18",55000,"Apartment","2 ",1224," Elite Sports Residence"," Dubai Sports City","Premium"
"19",75000,"Apartment","2 ",1549,"Laya Residences"," Jumeirah Village Circle","Premium"
"20",350000,"Apartment","2 ",1750,"The Address BLVD Sky Collection"," Downtown Dubai","Premium"
"21",70000,"Apartment","1 ",968," Churchill Towers"," Business Bay","Premium"
"22",110000,"Apartment","3 ",1432," Lake Almas East"," Jumeirah Lake Towers","Premium"
"23",210000,"Apartment","2 ",1063," EMAAR Beachfront"," Dubai Harbour","Premium"
"24",1e+05,"Apartment","2 ",2093," Tuscan Residences"," Jumeirah Village Circle","Premium"
"25",25000,"Apartment","studio ",450,"Celestia"," Dubai South (Dubai World Central)","Premium"
"26",65000,"Apartment","studio ",548," Palm Views"," Palm Jumeirah","Premium"
"27",140000,"Apartment","1 ",886,"Index Tower"," DIFC","Premium"
"28",140000,"Apartment","1 ",1108," Central Park Tower"," DIFC","Premium"
"29",50000,"Apartment","1 ",884,NA,"Al Khail Heights","Premium"
"30",90000,"Apartment","1 ",872,"Damac Heights"," Dubai Marina","Premium"
"31",70000,"Apartment","1 ",820,"Creek Rise"," Dubai Creek Harbour (The Lagoons)","Premium"
"32",75000,"Apartment","1 ",810,"Burj Al Nujoom"," Downtown Dubai","Premium"
"33",120000,"Apartment","1 ",688,"Damac Heights"," Dubai Marina","Premium"
"34",88000,"Apartment","2 ",1553," District 11"," Mohammed Bin Rashid City","Premium"
"35",35000,"Apartment","1 ",655," Seasons Community"," Jumeirah Village Circle","Premium"
"36",170000,"Apartment","2 ",2045," Marina Residences"," Palm Jumeirah","Premium"
"37",55000,"Apartment","1 ",476,"Collective 2.0"," Dubai Hills Estate","Premium"
"38",140000,"Apartment","2 ",1326,"Orra Marina"," Dubai Marina","Premium"
"39",72000,"Apartment","2 ",730,"Collective"," Dubai Hills Estate","Premium"
"40",140000,"Apartment","1 ",1387,"Azure Residences"," Palm Jumeirah","Premium"
"41",120000,"Apartment","2 ",1555,"Dubai Creek Residence Tower 2 South"," Dubai Creek Harbour (The Lagoons)","Premium"
"42",5e+05,"Apartment","4 ",2816," Madinat Jumeirah Living"," Umm Suqeim","Premium"
"43",95000,"Apartment","1 ",737,"Continental Tower"," Dubai Marina","Premium"
"44",105000,"Apartment","1 ",972," Zanzebeel"," Old Town","Premium"
"45",65000,"Apartment","1 ",725,"Creek Gate"," Dubai Creek Harbour (The Lagoons)","Premium"
"46",110000,"Apartment","1 ",787," Madinat Jumeirah Living"," Umm Suqeim","Premium"
"47",71000,"Apartment","1 ",726,"The cove"," Dubai Creek Harbour (The Lagoons)","Premium"
"48",73000,"Apartment","2 ",726,"Collective"," Dubai Hills Estate","Premium"
"49",140000,"Apartment","1 ",1158," Anantara Residences"," Palm Jumeirah","Premium"
"50",179000,"Apartment","2 ",1350," Madinat Jumeirah Living"," Umm Suqeim","Premium"
"51",65000,"Apartment","1 ",831," Lake Almas West"," Jumeirah Lake Towers","Premium"
"52",195000,"Apartment","1 ",1039,"The Palm Tower"," Palm Jumeirah","Premium"
"53",42000,"Apartment","1 ",825," District 13"," Jumeirah Village Circle","Premium"
"54",220000,"Apartment","2 ",1361," Burj Khalifa Area"," Downtown Dubai","Premium"
"55",180000,"Apartment","2 ",1714," Burj Khalifa Area"," Downtown Dubai","Premium"
"56",111000,"Apartment","1 ",827," Bay Central"," Dubai Marina","Premium"
"57",55000,"Apartment","1 ",767," Al Alka"," Greens","Premium"
"58",65000,"Apartment","1 ",710,"Harbour Views 1"," Dubai Creek Harbour (The Lagoons)","Premium"
"59",109000,"Apartment","1 ",843," Madinat Jumeirah Living"," Umm Suqeim","Premium"
"60",85000,"Apartment","3 ",1413," Zahra Apartments"," Town Square","Premium"
"61",44950,"Apartment","studio ",408," Belgravia"," Jumeirah Village Circle","Premium"
"62",130000,"Apartment","1 ",1113," Marina Quays"," Dubai Marina","Premium"
"63",NA,"Apartment","2 ",1602," Mankhool"," Bur Dubai","Premium"
"64",70000,"Apartment","1 ",843," Lake Elucio"," Jumeirah Lake Towers","Premium"
"65",50000,"Apartment","studio ",555,"AG Tower"," Business Bay","Premium"
"66",260000,"Apartment","2 ",1281," EMAAR Beachfront"," Dubai Harbour","Premium"
"67",NA,"Apartment","2 ",1678," Mankhool"," Bur Dubai","Premium"
"68",55000,"Apartment","1 ",753," Lake Elucio"," Jumeirah Lake Towers","Premium"
